Rate_adj,health_event,Visit,Geography,year,age_group,month,Sex,rate_per_10k,rate_per_10kpy,count,dailyMean
Age-Adjusted Rate,Asthma,ED,Bronx,2013-2015,Total,Total,Total,878.79,292.930,126638,115.651
Age-Adjusted Rate,Asthma,ED,Bronx,2014-2016,Total,Total,Total,838.93,279.643,121368,110.737
Age-Adjusted Rate,Asthma,ED,Bronx,2015-2017,Total,Total,Total,775.50,258.500,112246,102.414
Age-Adjusted Rate,Asthma,ED,Bronx,2016-2018,Total,Total,Total,722.86,240.954,104146,95.024
Age-Adjusted Rate,Asthma,ED,Bronx,2017-2019,Total,Total,Total,,,94758,86.537
Age-Adjusted Rate,Asthma,ED,Broome,2005-2007,Total,Total,Total,161.42,53.806,3028,2.765
Age-Adjusted Rate,Asthma,ED,Broome,2005-2019,Total,Total,Total,806.90,53.793,14789,2.700
Age-Adjusted Rate,Asthma,ED,Broome,2006-2008,Total,Total,Total,163.81,54.603,3079,2.809
Age-Adjusted Rate,Asthma,ED,Broome,2007-2009,Total,Total,Total,160.19,53.396,3014,2.750
Age-Adjusted Rate,Asthma,ED,Broome,2008-2010,Total,Total,Total,157.28,52.426,2978,2.717
Age-Adjusted Rate,Asthma,ED,Broome,2009-2011,Total,Total,Total,159.83,53.278,3020,2.758
Age-Adjusted Rate,Asthma,ED,Broome,2010-2012,Total,Total,Total,170.23,56.744,3207,2.926
Age-Adjusted Rate,Asthma,ED,Broome,2011-2013,Total,Total,Total,177.03,59.011,3312,3.022
Age-Adjusted Rate,Asthma,ED,Broome,2012-2014,Total,Total,Total,182.95,60.983,3374,3.078
Age-Adjusted Rate,Asthma,ED,Broome,2013-2015,Total,Total,Total,188.15,62.715,3410,3.114
Age-Adjusted Rate,Asthma,ED,Broome,2014-2016,Total,Total,Total,178.29,59.430,3166,2.889
Age-Adjusted Rate,Asthma,ED,Broome,2015-2017,Total,Total,Total,156.53,52.176,2727,2.488
Age-Adjusted Rate,Asthma,ED,Broome,2016-2018,Total,Total,Total,132.80,44.266,2276,2.077
Age-Adjusted Rate,Asthma,ED,Broome,2017-2019,Total,Total,Total,,,2305,2.105
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2005-2007,Total,Total,Total,159.09,53.029,1211,1.106
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2005-2019,Total,Total,Total,782.24,52.149,5712,1.043
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2006-2008,Total,Total,Total,170.71,56.902,1285,1.172
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2007-2009,Total,Total,Total,188.79,62.931,1417,1.293
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2008-2010,Total,Total,Total,196.64,65.545,1465,1.337
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2009-2011,Total,Total,Total,205.26,68.419,1518,1.386
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2010-2012,Total,Total,Total,190.15,63.383,1398,1.276
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2011-2013,Total,Total,Total,178.08,59.361,1317,1.202
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2012-2014,Total,Total,Total,165.06,55.019,1217,1.110
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2013-2015,Total,Total,Total,162.42,54.138,1190,1.087
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2014-2016,Total,Total,Total,146.37,48.788,1049,0.957
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2015-2017,Total,Total,Total,125.42,41.806,877,0.800
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2016-2018,Total,Total,Total,108.38,36.127,742,0.677
Age-Adjusted Rate,Asthma,ED,Cattaraugus,2017-2019,Total,Total,Total,,,670,0.612
Age-Adjusted Rate,Asthma,ED,Cayuga,2005-2007,Total,Total,Total,133.76,44.588,1038,0.948
Age-Adjusted Rate,Asthma,ED,Cayuga,2005-2019,Total,Total,Total,615.43,41.029,4552,0.831
Age-Adjusted Rate,Asthma,ED,Cayuga,2006-2008,Total,Total,Total,135.11,45.036,1041,0.950
Age-Adjusted Rate,Asthma,ED,Cayuga,2007-2009,Total,Total,Total,145.56,48.518,1104,1.007
Age-Adjusted Rate,Asthma,ED,Cayuga,2008-2010,Total,Total,Total,142.81,47.603,1078,0.984
Age-Adjusted Rate,Asthma,ED,Cayuga,2009-2011,Total,Total,Total,126.61,42.203,951,0.868
Age-Adjusted Rate,Asthma,ED,Cayuga,2010-2012,Total,Total,Total,118.42,39.473,901,0.822
Age-Adjusted Rate,Asthma,ED,Cayuga,2011-2013,Total,Total,Total,120.43,40.143,925,0.844
Age-Adjusted Rate,Asthma,ED,Cayuga,2012-2014,Total,Total,Total,127.16,42.387,967,0.882
Age-Adjusted Rate,Asthma,ED,Cayuga,2013-2015,Total,Total,Total,122.63,40.878,899,0.821
Age-Adjusted Rate,Asthma,ED,Cayuga,2014-2016,Total,Total,Total,116.74,38.914,826,0.754
Age-Adjusted Rate,Asthma,ED,Cayuga,2015-2017,Total,Total,Total,117.77,39.256,820,0.748
Age-Adjusted Rate,Asthma,ED,Cayuga,2016-2018,Total,Total,Total,107.75,35.918,745,0.680
Age-Adjusted Rate,Asthma,ED,Cayuga,2017-2019,Total,Total,Total,,,685,0.626
Age-Adjusted Rate,Asthma,ED,Chautauqua,2005-2007,Total,Total,Total,218.59,72.862,2772,2.532
Age-Adjusted Rate,Asthma,ED,Chautauqua,2005-2019,Total,Total,Total,921.85,61.457,11126,2.031
Age-Adjusted Rate,Asthma,ED,Chautauqua,2006-2008,Total,Total,Total,196.74,65.579,2480,2.263
Age-Adjusted Rate,Asthma,ED,Chautauqua,2007-2009,Total,Total,Total,198.64,66.214,2492,2.274
Age-Adjusted Rate,Asthma,ED,Chautauqua,2008-2010,Total,Total,Total,206.00,68.665,2569,2.344
Age-Adjusted Rate,Asthma,ED,Chautauqua,2009-2011,Total,Total,Total,218.48,72.826,2691,2.458
Age-Adjusted Rate,Asthma,ED,Chautauqua,2010-2012,Total,Total,Total,207.00,69.001,2510,2.290
Age-Adjusted Rate,Asthma,ED,Chautauqua,2011-2013,Total,Total,Total,189.25,63.084,2296,2.095
Age-Adjusted Rate,Asthma,ED,Chautauqua,2012-2014,Total,Total,Total,182.36,60.786,2199,2.006
Age-Adjusted Rate,Asthma,ED,Chautauqua,2013-2015,Total,Total,Total,181.57,60.522,2183,1.994
Age-Adjusted Rate,Asthma,ED,Chautauqua,2014-2016,Total,Total,Total,168.21,56.068,1976,1.803
Age-Adjusted Rate,Asthma,ED,Chautauqua,2015-2017,Total,Total,Total,145.78,48.593,1685,1.537
Age-Adjusted Rate,Asthma,ED,Chautauqua,2016-2018,Total,Total,Total,126.86,42.286,1438,1.312
Age-Adjusted Rate,Asthma,ED,Chautauqua,2017-2019,Total,Total,Total,,,1513,1.382
Age-Adjusted Rate,Asthma,ED,Chemung,2005-2007,Total,Total,Total,264.94,88.314,2222,2.029
Age-Adjusted Rate,Asthma,ED,Chemung,2005-2019,Total,Total,Total,1031.22,68.748,8413,1.536
Age-Adjusted Rate,Asthma,ED,Chemung,2006-2008,Total,Total,Total,239.31,79.771,2003,1.828
Age-Adjusted Rate,Asthma,ED,Chemung,2007-2009,Total,Total,Total,228.51,76.169,1913,1.745
Age-Adjusted Rate,Asthma,ED,Chemung,2008-2010,Total,Total,Total,224.78,74.927,1872,1.708
Age-Adjusted Rate,Asthma,ED,Chemung,2009-2011,Total,Total,Total,242.12,80.707,2010,1.836
Age-Adjusted Rate,Asthma,ED,Chemung,2010-2012,Total,Total,Total,241.13,80.377,2007,1.831
Age-Adjusted Rate,Asthma,ED,Chemung,2011-2013,Total,Total,Total,221.95,73.985,1848,1.686
Age-Adjusted Rate,Asthma,ED,Chemung,2012-2014,Total,Total,Total,192.09,64.031,1593,1.453
Age-Adjusted Rate,Asthma,ED,Chemung,2013-2015,Total,Total,Total,168.55,56.182,1385,1.265
Age-Adjusted Rate,Asthma,ED,Chemung,2014-2016,Total,Total,Total,164.28,54.760,1318,1.203
Age-Adjusted Rate,Asthma,ED,Chemung,2015-2017,Total,Total,Total,154.87,51.622,1228,1.120
Age-Adjusted Rate,Asthma,ED,Chemung,2016-2018,Total,Total,Total,148.30,49.434,1150,1.049
Age-Adjusted Rate,Asthma,ED,Chemung,2017-2019,Total,Total,Total,,,1153,1.053
Age-Adjusted Rate,Asthma,ED,Chenango,2005-2007,Total,Total,Total,161.52,53.840,754,0.689
Age-Adjusted Rate,Asthma,ED,Chenango,2005-2019,Total,Total,Total,788.01,52.534,3509,0.641
Age-Adjusted Rate,Asthma,ED,Chenango,2006-2008,Total,Total,Total,160.65,53.549,736,0.672
Age-Adjusted Rate,Asthma,ED,Chenango,2007-2009,Total,Total,Total,161.44,53.813,730,0.666
Age-Adjusted Rate,Asthma,ED,Chenango,2008-2010,Total,Total,Total,166.41,55.470,743,0.678
Age-Adjusted Rate,Asthma,ED,Chenango,2009-2011,Total,Total,Total,172.61,57.536,776,0.709
Age-Adjusted Rate,Asthma,ED,Chenango,2010-2012,Total,Total,Total,172.58,57.526,777,0.709
Age-Adjusted Rate,Asthma,ED,Chenango,2011-2013,Total,Total,Total,155.11,51.703,705,0.643
Age-Adjusted Rate,Asthma,ED,Chenango,2012-2014,Total,Total,Total,159.48,53.159,712,0.650
Age-Adjusted Rate,Asthma,ED,Chenango,2013-2015,Total,Total,Total,155.69,51.897,693,0.633
Age-Adjusted Rate,Asthma,ED,Chenango,2014-2016,Total,Total,Total,162.51,54.170,700,0.639
Age-Adjusted Rate,Asthma,ED,Chenango,2015-2017,Total,Total,Total,156.34,52.113,669,0.610
Age-Adjusted Rate,Asthma,ED,Chenango,2016-2018,Total,Total,Total,154.47,51.489,649,0.592
Age-Adjusted Rate,Asthma,ED,Chenango,2017-2019,Total,Total,Total,,,607,0.554
Age-Adjusted Rate,Asthma,ED,Clinton,2005-2007,Total,Total,Total,337.94,112.647,2812,2.568
Age-Adjusted Rate,Asthma,ED,Clinton,2005-2019,Total,Total,Total,1236.68,82.446,9941,1.815
Age-Adjusted Rate,Asthma,ED,Clinton,2006-2008,Total,Total,Total,358.11,119.369,2975,2.714
Age-Adjusted Rate,Asthma,ED,Clinton,2007-2009,Total,Total,Total,368.14,122.714,3028,2.763
Age-Adjusted Rate,Asthma,ED,Clinton,2008-2010,Total,Total,Total,365.08,121.692,2978,2.717
Age-Adjusted Rate,Asthma,ED,Clinton,2009-2011,Total,Total,Total,297.83,99.277,2407,2.198
Age-Adjusted Rate,Asthma,ED,Clinton,2010-2012,Total,Total,Total,232.94,77.647,1884,1.719
Age-Adjusted Rate,Asthma,ED,Clinton,2011-2013,Total,Total,Total,181.28,60.428,1467,1.339
Age-Adjusted Rate,Asthma,ED,Clinton,2012-2014,Total,Total,Total,173.36,57.786,1397,1.275
Age-Adjusted Rate,Asthma,ED,Clinton,2013-2015,Total,Total,Total,228.59,76.198,1811,1.654
Age-Adjusted Rate,Asthma,ED,Clinton,2014-2016,Total,Total,Total,217.93,72.645,1708,1.558
Age-Adjusted Rate,Asthma,ED,Clinton,2015-2017,Total,Total,Total,204.39,68.129,1588,1.449
Age-Adjusted Rate,Asthma,ED,Clinton,2016-2018,Total,Total,Total,143.01,47.671,1092,0.996
Age-Adjusted Rate,Asthma,ED,Clinton,2017-2019,Total,Total,Total,,,976,0.891
Age-Adjusted Rate,Asthma,ED,Columbia,2005-2007,Total,Total,Total,156.49,52.164,853,0.779
Age-Adjusted Rate,Asthma,ED,Columbia,2005-2019,Total,Total,Total,745.96,49.731,3868,0.706
Age-Adjusted Rate,Asthma,ED,Columbia,2006-2008,Total,Total,Total,158.71,52.905,863,0.787
Age-Adjusted Rate,Asthma,ED,Columbia,2007-2009,Total,Total,Total,166.74,55.579,900,0.821
Age-Adjusted Rate,Asthma,ED,Columbia,2008-2010,Total,Total,Total,154.51,51.505,830,0.757
Age-Adjusted Rate,Asthma,ED,Columbia,2009-2011,Total,Total,Total,151.91,50.637,798,0.729
Age-Adjusted Rate,Asthma,ED,Columbia,2010-2012,Total,Total,Total,138.62,46.207,722,0.659
Age-Adjusted Rate,Asthma,ED,Columbia,2011-2013,Total,Total,Total,141.68,47.226,739,0.674
Age-Adjusted Rate,Asthma,ED,Columbia,2012-2014,Total,Total,Total,137.13,45.711,717,0.654
Age-Adjusted Rate,Asthma,ED,Columbia,2013-2015,Total,Total,Total,141.50,47.168,737,0.673
Age-Adjusted Rate,Asthma,ED,Columbia,2014-2016,Total,Total,Total,135.58,45.193,692,0.631
Age-Adjusted Rate,Asthma,ED,Columbia,2015-2017,Total,Total,Total,135.12,45.038,679,0.620
Age-Adjusted Rate,Asthma,ED,Columbia,2016-2018,Total,Total,Total,146.51,48.836,710,0.648
Age-Adjusted Rate,Asthma,ED,Columbia,2017-2019,Total,Total,Total,,,754,0.689
Age-Adjusted Rate,Asthma,ED,Cortland,2005-2007,Total,Total,Total,52.02,17.340,249,0.227
Age-Adjusted Rate,Asthma,ED,Cortland,2005-2019,Total,Total,Total,594.19,39.612,2726,0.498
Age-Adjusted Rate,Asthma,ED,Cortland,2006-2008,Total,Total,Total,86.67,28.891,410,0.374
Age-Adjusted Rate,Asthma,ED,Cortland,2007-2009,Total,Total,Total,114.82,38.273,540,0.493
Age-Adjusted Rate,Asthma,ED,Cortland,2008-2010,Total,Total,Total,123.32,41.106,567,0.517
Age-Adjusted Rate,Asthma,ED,Cortland,2009-2011,Total,Total,Total,135.93,45.309,640,0.584
Age-Adjusted Rate,Asthma,ED,Cortland,2010-2012,Total,Total,Total,153.45,51.151,706,0.644
Age-Adjusted Rate,Asthma,ED,Cortland,2011-2013,Total,Total,Total,167.98,55.993,802,0.732
Age-Adjusted Rate,Asthma,ED,Cortland,2012-2014,Total,Total,Total,161.80,53.932,764,0.697
Age-Adjusted Rate,Asthma,ED,Cortland,2013-2015,Total,Total,Total,147.78,49.260,699,0.638
Age-Adjusted Rate,Asthma,ED,Cortland,2014-2016,Total,Total,Total,133.69,44.564,590,0.538
Age-Adjusted Rate,Asthma,ED,Cortland,2015-2017,Total,Total,Total,123.55,41.182,521,0.475
Age-Adjusted Rate,Asthma,ED,Cortland,2016-2018,Total,Total,Total,116.39,38.798,492,0.449
Age-Adjusted Rate,Asthma,ED,Cortland,2017-2019,Total,Total,Total,,,518,0.473
Age-Adjusted Rate,Asthma,ED,Delaware,2005-2007,Total,Total,Total,106.68,35.561,473,0.432
Age-Adjusted Rate,Asthma,ED,Delaware,2005-2019,Total,Total,Total,601.60,40.107,2477,0.452
Age-Adjusted Rate,Asthma,ED,Delaware,2006-2008,Total,Total,Total,103.41,34.470,452,0.412
Age-Adjusted Rate,Asthma,ED,Delaware,2007-2009,Total,Total,Total,115.06,38.352,495,0.452
Age-Adjusted Rate,Asthma,ED,Delaware,2008-2010,Total,Total,Total,127.05,42.350,538,0.491
Age-Adjusted Rate,Asthma,ED,Delaware,2009-2011,Total,Total,Total,140.55,46.851,592,0.541
Age-Adjusted Rate,Asthma,ED,Delaware,2010-2012,Total,Total,Total,128.51,42.835,539,0.492
Age-Adjusted Rate,Asthma,ED,Delaware,2011-2013,Total,Total,Total,126.86,42.286,529,0.483
Age-Adjusted Rate,Asthma,ED,Delaware,2012-2014,Total,Total,Total,121.10,40.365,498,0.454
Age-Adjusted Rate,Asthma,ED,Delaware,2013-2015,Total,Total,Total,128.61,42.869,528,0.482
Age-Adjusted Rate,Asthma,ED,Delaware,2014-2016,Total,Total,Total,119.35,39.782,478,0.436
Age-Adjusted Rate,Asthma,ED,Delaware,2015-2017,Total,Total,Total,115.67,38.556,449,0.410
Age-Adjusted Rate,Asthma,ED,Delaware,2016-2018,Total,Total,Total,114.99,38.331,440,0.401
Age-Adjusted Rate,Asthma,ED,Delaware,2017-2019,Total,Total,Total,,,459,0.419
Age-Adjusted Rate,Asthma,ED,Dutchess,2005-2007,Total,Total,Total,167.25,55.749,4760,4.347
Age-Adjusted Rate,Asthma,ED,Dutchess,2005-2019,Total,Total,Total,795.56,53.037,22078,4.030
Age-Adjusted Rate,Asthma,ED,Dutchess,2006-2008,Total,Total,Total,179.80,59.934,5126,4.677
Age-Adjusted Rate,Asthma,ED,Dutchess,2007-2009,Total,Total,Total,178.66,59.555,5102,4.655
Age-Adjusted Rate,Asthma,ED,Dutchess,2008-2010,Total,Total,Total,167.02,55.674,4780,4.361
Age-Adjusted Rate,Asthma,ED,Dutchess,2009-2011,Total,Total,Total,159.69,53.230,4585,4.187
Age-Adjusted Rate,Asthma,ED,Dutchess,2010-2012,Total,Total,Total,162.51,54.171,4652,4.245
Age-Adjusted Rate,Asthma,ED,Dutchess,2011-2013,Total,Total,Total,167.17,55.723,4740,4.325
Age-Adjusted Rate,Asthma,ED,Dutchess,2012-2014,Total,Total,Total,166.44,55.480,4636,4.230
Age-Adjusted Rate,Asthma,ED,Dutchess,2013-2015,Total,Total,Total,155.90,51.967,4269,3.899
Age-Adjusted Rate,Asthma,ED,Dutchess,2014-2016,Total,Total,Total,151.02,50.339,4054,3.699
Age-Adjusted Rate,Asthma,ED,Dutchess,2015-2017,Total,Total,Total,144.09,48.030,3825,3.490
Age-Adjusted Rate,Asthma,ED,Dutchess,2016-2018,Total,Total,Total,143.40,47.799,3757,3.428
Age-Adjusted Rate,Asthma,ED,Dutchess,2017-2019,Total,Total,Total,,,3744,3.419
Age-Adjusted Rate,Asthma,ED,Erie,2005-2007,Total,Total,Total,188.19,62.732,16328,14.911
Age-Adjusted Rate,Asthma,ED,Erie,2005-2019,Total,Total,Total,918.88,61.259,78316,14.296
Age-Adjusted Rate,Asthma,ED,Erie,2006-2008,Total,Total,Total,183.69,61.229,15858,14.469
Age-Adjusted Rate,Asthma,ED,Erie,2007-2009,Total,Total,Total,189.55,63.183,16337,14.906
Age-Adjusted Rate,Asthma,ED,Erie,2008-2010,Total,Total,Total,192.68,64.226,16561,15.110
Age-Adjusted Rate,Asthma,ED,Erie,2009-2011,Total,Total,Total,193.84,64.612,16615,15.174
Age-Adjusted Rate,Asthma,ED,Erie,2010-2012,Total,Total,Total,189.06,63.020,16216,14.796
Age-Adjusted Rate,Asthma,ED,Erie,2011-2013,Total,Total,Total,187.58,62.528,16097,14.687
Age-Adjusted Rate,Asthma,ED,Erie,2012-2014,Total,Total,Total,197.73,65.910,16834,15.359
Age-Adjusted Rate,Asthma,ED,Erie,2013-2015,Total,Total,Total,195.08,65.027,16535,15.100
Age-Adjusted Rate,Asthma,ED,Erie,2014-2016,Total,Total,Total,188.65,62.884,15880,14.489
Age-Adjusted Rate,Asthma,ED,Erie,2015-2017,Total,Total,Total,173.77,57.924,14582,13.305
Age-Adjusted Rate,Asthma,ED,Erie,2016-2018,Total,Total,Total,168.18,56.060,13974,12.750
Age-Adjusted Rate,Asthma,ED,Erie,2017-2019,Total,Total,Total,,,13450,12.283
Age-Adjusted Rate,Asthma,ED,Essex,2005-2007,Total,Total,Total,165.46,55.155,628,0.574
Age-Adjusted Rate,Asthma,ED,Essex,2005-2019,Total,Total,Total,772.70,51.513,2701,0.493
Age-Adjusted Rate,Asthma,ED,Essex,2006-2008,Total,Total,Total,194.33,64.778,736,0.672
Age-Adjusted Rate,Asthma,ED,Essex,2007-2009,Total,Total,Total,190.87,63.623,717,0.654
Age-Adjusted Rate,Asthma,ED,Essex,2008-2010,Total,Total,Total,181.50,60.498,671,0.612
Age-Adjusted Rate,Asthma,ED,Essex,2009-2011,Total,Total,Total,169.34,56.447,609,0.556
Age-Adjusted Rate,Asthma,ED,Essex,2010-2012,Total,Total,Total,175.69,58.564,628,0.573
Age-Adjusted Rate,Asthma,ED,Essex,2011-2013,Total,Total,Total,158.73,52.910,562,0.513
Age-Adjusted Rate,Asthma,ED,Essex,2012-2014,Total,Total,Total,151.36,50.452,527,0.481
Age-Adjusted Rate,Asthma,ED,Essex,2013-2015,Total,Total,Total,132.97,44.323,445,0.406
Age-Adjusted Rate,Asthma,ED,Essex,2014-2016,Total,Total,Total,138.44,46.147,444,0.405
Age-Adjusted Rate,Asthma,ED,Essex,2015-2017,Total,Total,Total,128.80,42.934,408,0.372
Age-Adjusted Rate,Asthma,ED,Essex,2016-2018,Total,Total,Total,130.49,43.497,405,0.370
Age-Adjusted Rate,Asthma,ED,Essex,2017-2019,Total,Total,Total,,,396,0.362
Age-Adjusted Rate,Asthma,ED,Franklin,2005-2007,Total,Total,Total,198.55,66.182,983,0.898
Age-Adjusted Rate,Asthma,ED,Franklin,2005-2019,Total,Total,Total,840.89,56.059,4121,0.752
Age-Adjusted Rate,Asthma,ED,Franklin,2006-2008,Total,Total,Total,193.08,64.361,977,0.891
Age-Adjusted Rate,Asthma,ED,Franklin,2007-2009,Total,Total,Total,212.10,70.702,1068,0.974
Age-Adjusted Rate,Asthma,ED,Franklin,2008-2010,Total,Total,Total,219.35,73.117,1097,1.001
Age-Adjusted Rate,Asthma,ED,Franklin,2009-2011,Total,Total,Total,208.24,69.414,1029,0.940
Age-Adjusted Rate,Asthma,ED,Franklin,2010-2012,Total,Total,Total,195.31,65.102,966,0.881
Age-Adjusted Rate,Asthma,ED,Franklin,2011-2013,Total,Total,Total,177.13,59.042,871,0.795
Age-Adjusted Rate,Asthma,ED,Franklin,2012-2014,Total,Total,Total,166.22,55.408,817,0.745
Age-Adjusted Rate,Asthma,ED,Franklin,2013-2015,Total,Total,Total,153.47,51.157,756,0.690
Age-Adjusted Rate,Asthma,ED,Franklin,2014-2016,Total,Total,Total,130.71,43.572,642,0.586
Age-Adjusted Rate,Asthma,ED,Franklin,2015-2017,Total,Total,Total,112.72,37.574,550,0.502
Age-Adjusted Rate,Asthma,ED,Franklin,2016-2018,Total,Total,Total,98.95,32.984,478,0.436
Age-Adjusted Rate,Asthma,ED,Franklin,2017-2019,Total,Total,Total,,,528,0.482
Age-Adjusted Rate,Asthma,ED,Fulton,2005-2007,Total,Total,Total,138.02,46.007,700,0.639
Age-Adjusted Rate,Asthma,ED,Fulton,2005-2019,Total,Total,Total,1098.95,73.263,5450,0.995
Age-Adjusted Rate,Asthma,ED,Fulton,2006-2008,Total,Total,Total,186.93,62.310,943,0.860
Age-Adjusted Rate,Asthma,ED,Fulton,2007-2009,Total,Total,Total,248.05,82.683,1250,1.141
Age-Adjusted Rate,Asthma,ED,Fulton,2008-2010,Total,Total,Total,236.48,78.827,1193,1.089
Age-Adjusted Rate,Asthma,ED,Fulton,2009-2011,Total,Total,Total,240.03,80.011,1207,1.102
Age-Adjusted Rate,Asthma,ED,Fulton,2010-2012,Total,Total,Total,240.11,80.036,1220,1.113
Age-Adjusted Rate,Asthma,ED,Fulton,2011-2013,Total,Total,Total,252.32,84.107,1268,1.157
Age-Adjusted Rate,Asthma,ED,Fulton,2012-2014,Total,Total,Total,247.57,82.523,1236,1.128
Age-Adjusted Rate,Asthma,ED,Fulton,2013-2015,Total,Total,Total,246.58,82.194,1214,1.109
Age-Adjusted Rate,Asthma,ED,Fulton,2014-2016,Total,Total,Total,260.25,86.751,1267,1.156
Age-Adjusted Rate,Asthma,ED,Fulton,2015-2017,Total,Total,Total,262.86,87.619,1274,1.162
Age-Adjusted Rate,Asthma,ED,Fulton,2016-2018,Total,Total,Total,248.84,82.948,1182,1.078
Age-Adjusted Rate,Asthma,ED,Fulton,2017-2019,Total,Total,Total,,,1022,0.933
Age-Adjusted Rate,Asthma,ED,Genesee,2005-2007,Total,Total,Total,143.46,47.820,807,0.737
Age-Adjusted Rate,Asthma,ED,Genesee,2005-2019,Total,Total,Total,546.71,36.447,2943,0.537
Age-Adjusted Rate,Asthma,ED,Genesee,2006-2008,Total,Total,Total,132.42,44.139,740,0.675
