rate_adj,health_event,geography,geography_code,year,sex,race,age,Count,Population,rate,lb,ub,significance
Age-Adjusted Rate,Asthma,Blair,13,2018,Total,All Races,All Ages,66,"122,492",54.9,41.7,68.2,-
Age-Adjusted Rate,Asthma,Bradford,15,2018,Total,All Races,All Ages,35,"60,833",60.8,40.6,80.9,-
Age-Adjusted Rate,Asthma,Bucks,17,2018,Total,All Races,All Ages,378,"628,195",61.5,55.3,67.8,-
Age-Adjusted Rate,Asthma,Butler,19,2018,Total,All Races,All Ages,59,"187,888",27,20.1,33.9,-
Age-Adjusted Rate,Asthma,Cambria,21,2018,Total,All Races,All Ages,33,"131,730",26.7,17.6,35.8,-
Age-Adjusted Rate,Asthma,Cameron,23,2018,Total,All Races,All Ages,ND,"4,492",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Carbon,25,2018,Total,All Races,All Ages,32,"64,227",53.2,34.8,71.7,-
Age-Adjusted Rate,Asthma,Centre,27,2018,Total,All Races,All Ages,50,"162,805",38.9,28.1,49.6,-
Age-Adjusted Rate,Asthma,Chester,29,2018,Total,All Races,All Ages,220,"522,046",42.2,36.6,47.8,-
Age-Adjusted Rate,Asthma,Clarion,31,2018,Total,All Races,All Ages,ND,"38,779",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Clearfield,33,2018,Total,All Races,All Ages,35,"79,388",44.9,30.1,59.8,-
Age-Adjusted Rate,Asthma,Clinton,35,2018,Total,All Races,All Ages,ND,"38,684",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Columbia,37,2018,Total,All Races,All Ages,19,"65,456",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Crawford,39,2018,Total,All Races,All Ages,21,"85,063",27.4,15.7,39.2,-
Age-Adjusted Rate,Asthma,Cumberland,41,2018,Total,All Races,All Ages,86,"251,423",37.3,29.4,45.2,-
Age-Adjusted Rate,Asthma,Dauphin,43,2018,Total,All Races,All Ages,149,"277,097",56.2,47.2,65.2,-
Age-Adjusted Rate,Asthma,Delaware,45,2018,Total,All Races,All Ages,660,"564,751",124.7,115.2,134.2,+
Age-Adjusted Rate,Asthma,Elk,47,2018,Total,All Races,All Ages,11,"30,169",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Erie,49,2018,Total,All Races,All Ages,92,"272,061",35.9,28.6,43.3,-
Age-Adjusted Rate,Asthma,Fayette,51,2018,Total,All Races,All Ages,78,"130,441",65.6,51.1,80.2,-
Age-Adjusted Rate,Asthma,Forest,53,2018,Total,All Races,All Ages,ND,"7,279",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Franklin,55,2018,Total,All Races,All Ages,51,"154,835",35.9,26,45.7,-
Age-Adjusted Rate,Asthma,Fulton,57,2018,Total,All Races,All Ages,ND,"14,523",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Greene,59,2018,Total,All Races,All Ages,10,"36,506",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Huntingdon,61,2018,Total,All Races,All Ages,10,"45,168",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Indiana,63,2018,Total,All Races,All Ages,34,"84,501",40.5,26.9,54.1,-
Age-Adjusted Rate,Asthma,Jefferson,65,2018,Total,All Races,All Ages,ND,"43,641",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Juniata,67,2018,Total,All Races,All Ages,ND,"24,704",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Lackawanna,69,2018,Total,All Races,All Ages,105,"210,793",56.2,45.4,66.9,-
Age-Adjusted Rate,Asthma,Lancaster,71,2018,Total,All Races,All Ages,201,"543,557",38.2,32.9,43.5,-
Age-Adjusted Rate,Asthma,Lawrence,73,2018,Total,All Races,All Ages,22,"86,184",26.3,15.3,37.2,-
Age-Adjusted Rate,Asthma,Lebanon,75,2018,Total,All Races,All Ages,68,"141,314",50,38.1,61.9,-
Age-Adjusted Rate,Asthma,Lehigh,77,2018,Total,All Races,All Ages,348,"368,100",96.4,86.3,106.6,+
Age-Adjusted Rate,Asthma,Luzerne,79,2018,Total,All Races,All Ages,174,"317,646",58.1,49.5,66.8,-
Age-Adjusted Rate,Asthma,Lycoming,81,2018,Total,All Races,All Ages,40,"113,664",38.8,26.8,50.8,-
Age-Adjusted Rate,Asthma,McKean,83,2018,Total,All Races,All Ages,24,"40,968",60.4,36.2,84.6,
Age-Adjusted Rate,Asthma,Mercer,85,2018,Total,All Races,All Ages,58,"110,683",51.5,38.3,64.8,-
Age-Adjusted Rate,Asthma,Mifflin,87,2018,Total,All Races,All Ages,17,"46,222",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Monroe,89,2018,Total,All Races,All Ages,133,"169,507",84.8,70.4,99.2,
Age-Adjusted Rate,Asthma,Montgomery,91,2018,Total,All Races,All Ages,538,"828,604",66.5,60.9,72.1,-
Age-Adjusted Rate,Asthma,Montour,93,2018,Total,All Races,All Ages,ND,"18,240",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Northampton,95,2018,Total,All Races,All Ages,230,"304,807",80.5,70.1,90.9,
Age-Adjusted Rate,Asthma,Northumberland,97,2018,Total,All Races,All Ages,46,"91,083",57.5,40.9,74.1,-
Age-Adjusted Rate,Asthma,Perry,99,2018,Total,All Races,All Ages,22,"46,139",53.1,30.9,75.2,-
Age-Adjusted Rate,Asthma,Philadelphia,101,2018,Total,All Races,All Ages,"3,927","1,584,138",266.4,258.1,274.8,+
Age-Adjusted Rate,Asthma,Pike,103,2018,Total,All Races,All Ages,ND,"55,933",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Potter,105,2018,Total,All Races,All Ages,ND,"16,622",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Schuylkill,107,2018,Total,All Races,All Ages,54,"142,067",43.2,31.7,54.8,-
Age-Adjusted Rate,Asthma,Snyder,109,2018,Total,All Races,All Ages,ND,"40,540",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Somerset,111,2018,Total,All Races,All Ages,28,"73,952",39.2,24.7,53.7,-
Age-Adjusted Rate,Asthma,Sullivan,113,2018,Total,All Races,All Ages,ND,"6,071",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Susquehanna,115,2018,Total,All Races,All Ages,16,"40,589",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Tioga,117,2018,Total,All Races,All Ages,12,"40,763",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Union,119,2018,Total,All Races,All Ages,ND,"44,785",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Venango,121,2018,Total,All Races,All Ages,16,"51,266",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Warren,123,2018,Total,All Races,All Ages,ND,"39,498",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Washington,125,2018,Total,All Races,All Ages,89,"207,346",44.6,35.3,53.9,-
Age-Adjusted Rate,Asthma,Wayne,127,2018,Total,All Races,All Ages,12,"51,276",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Westmoreland,129,2018,Total,All Races,All Ages,154,"350,611",45.3,38.2,52.5,-
Age-Adjusted Rate,Asthma,Wyoming,131,2018,Total,All Races,All Ages,ND,"27,046",ND,ND,ND,-
Age-Adjusted Rate,Asthma,York,133,2018,Total,All Races,All Ages,155,"448,273",34.7,29.2,40.1,-
Age-Adjusted Rate,Asthma,Pennsylvania,0,2017,Total,All Races,All Ages,"9,597","12,805,537",80,78.4,81.6,
Age-Adjusted Rate,Asthma,Adams,1,2017,Total,All Races,All Ages,48,"102,336",53.3,38.2,68.4,-
Age-Adjusted Rate,Asthma,Allegheny,3,2017,Total,All Races,All Ages,695,"1,223,048",58.2,53.9,62.6,-
Age-Adjusted Rate,Asthma,Armstrong,5,2017,Total,All Races,All Ages,35,"65,642",56.6,37.8,75.3,-
Age-Adjusted Rate,Asthma,Beaver,7,2017,Total,All Races,All Ages,56,"166,140",36.7,27.1,46.4,-
Age-Adjusted Rate,Asthma,Bedford,9,2017,Total,All Races,All Ages,ND,"48,480",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Berks,11,2017,Total,All Races,All Ages,359,"417,854",91.4,81.9,100.8,+
Age-Adjusted Rate,Asthma,Blair,13,2017,Total,All Races,All Ages,58,"123,457",43.5,32.3,54.7,-
Age-Adjusted Rate,Asthma,Bradford,15,2017,Total,All Races,All Ages,31,"60,853",41.6,27,56.2,-
Age-Adjusted Rate,Asthma,Bucks,17,2017,Total,All Races,All Ages,375,"628,341",62.6,56.2,68.9,-
Age-Adjusted Rate,Asthma,Butler,19,2017,Total,All Races,All Ages,57,"187,108",25.7,19.1,32.4,-
Age-Adjusted Rate,Asthma,Cambria,21,2017,Total,All Races,All Ages,54,"133,054",45.7,33.5,57.9,-
Age-Adjusted Rate,Asthma,Cameron,23,2017,Total,All Races,All Ages,ND,"4,592",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Carbon,25,2017,Total,All Races,All Ages,37,"63,853",57.8,39.2,76.5,-
Age-Adjusted Rate,Asthma,Centre,27,2017,Total,All Races,All Ages,34,"162,660",20.5,13.6,27.4,-
Age-Adjusted Rate,Asthma,Chester,29,2017,Total,All Races,All Ages,194,"519,293",36.7,31.6,41.9,-
Age-Adjusted Rate,Asthma,Clarion,31,2017,Total,All Races,All Ages,ND,"38,458",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Clearfield,33,2017,Total,All Races,All Ages,27,"79,685",29.7,18.5,41,-
Age-Adjusted Rate,Asthma,Clinton,35,2017,Total,All Races,All Ages,12,"38,998",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Columbia,37,2017,Total,All Races,All Ages,16,"65,932",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Crawford,39,2017,Total,All Races,All Ages,34,"86,159",41.5,27.5,55.4,-
Age-Adjusted Rate,Asthma,Cumberland,41,2017,Total,All Races,All Ages,64,"250,066",28.6,21.6,35.7,-
Age-Adjusted Rate,Asthma,Dauphin,43,2017,Total,All Races,All Ages,179,"275,710",68.4,58.4,78.4,
Age-Adjusted Rate,Asthma,Delaware,45,2017,Total,All Races,All Ages,577,"564,696",107.9,99.1,116.7,+
Age-Adjusted Rate,Asthma,Elk,47,2017,Total,All Races,All Ages,11,"30,197",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Erie,49,2017,Total,All Races,All Ages,92,"274,541",36,28.6,43.4,-
Age-Adjusted Rate,Asthma,Fayette,51,2017,Total,All Races,All Ages,84,"131,504",61.7,48.5,74.9,-
Age-Adjusted Rate,Asthma,Forest,53,2017,Total,All Races,All Ages,ND,"7,297",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Franklin,55,2017,Total,All Races,All Ages,38,"154,234",26,17.8,34.3,-
Age-Adjusted Rate,Asthma,Fulton,57,2017,Total,All Races,All Ages,ND,"14,590",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Greene,59,2017,Total,All Races,All Ages,ND,"36,770",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Huntingdon,61,2017,Total,All Races,All Ages,10,"45,491",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Indiana,63,2017,Total,All Races,All Ages,43,"84,953",48.4,33.9,62.9,-
Age-Adjusted Rate,Asthma,Jefferson,65,2017,Total,All Races,All Ages,12,"43,804",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Juniata,67,2017,Total,All Races,All Ages,ND,"24,514",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Lackawanna,69,2017,Total,All Races,All Ages,104,"210,761",50.7,40.9,60.4,-
Age-Adjusted Rate,Asthma,Lancaster,71,2017,Total,All Races,All Ages,198,"542,903",37.1,32,42.3,-
Age-Adjusted Rate,Asthma,Lawrence,73,2017,Total,All Races,All Ages,30,"87,069",30.5,19.6,41.4,-
Age-Adjusted Rate,Asthma,Lebanon,75,2017,Total,All Races,All Ages,80,"139,754",62.5,48.8,76.2,-
Age-Adjusted Rate,Asthma,Lehigh,77,2017,Total,All Races,All Ages,286,"366,494",81,71.6,90.4,
Age-Adjusted Rate,Asthma,Luzerne,79,2017,Total,All Races,All Ages,150,"317,343",48.1,40.4,55.8,-
Age-Adjusted Rate,Asthma,Lycoming,81,2017,Total,All Races,All Ages,42,"113,841",38.8,27.1,50.5,-
Age-Adjusted Rate,Asthma,McKean,83,2017,Total,All Races,All Ages,14,"41,330",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Mercer,85,2017,Total,All Races,All Ages,60,"111,750",53,39.6,66.4,-
Age-Adjusted Rate,Asthma,Mifflin,87,2017,Total,All Races,All Ages,18,"46,388",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Monroe,89,2017,Total,All Races,All Ages,75,"168,046",49.2,38.1,60.3,-
Age-Adjusted Rate,Asthma,Montgomery,91,2017,Total,All Races,All Ages,479,"826,075",58.6,53.4,63.9,-
Age-Adjusted Rate,Asthma,Montour,93,2017,Total,All Races,All Ages,ND,"18,272",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Northampton,95,2017,Total,All Races,All Ages,203,"303,405",67.3,58,76.6,-
Age-Adjusted Rate,Asthma,Northumberland,97,2017,Total,All Races,All Ages,33,"92,029",35.7,23.5,47.9,-
Age-Adjusted Rate,Asthma,Perry,99,2017,Total,All Races,All Ages,21,"46,127",45,25.8,64.3,-
Age-Adjusted Rate,Asthma,Philadelphia,101,2017,Total,All Races,All Ages,"3,869","1,580,863",262.6,254.3,270.8,+
Age-Adjusted Rate,Asthma,Pike,103,2017,Total,All Races,All Ages,19,"55,691",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Potter,105,2017,Total,All Races,All Ages,ND,"16,802",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Schuylkill,107,2017,Total,All Races,All Ages,68,"142,569",51.4,39.2,63.6,-
Age-Adjusted Rate,Asthma,Snyder,109,2017,Total,All Races,All Ages,10,"40,801",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Somerset,111,2017,Total,All Races,All Ages,21,"74,501",26.2,15,37.4,-
Age-Adjusted Rate,Asthma,Sullivan,113,2017,Total,All Races,All Ages,ND,"6,089",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Susquehanna,115,2017,Total,All Races,All Ages,19,"40,985",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Tioga,117,2017,Total,All Races,All Ages,12,"40,793",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Union,119,2017,Total,All Races,All Ages,ND,"44,595",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Venango,121,2017,Total,All Races,All Ages,23,"51,762",47.7,28.2,67.2,-
Age-Adjusted Rate,Asthma,Warren,123,2017,Total,All Races,All Ages,ND,"39,659",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Washington,125,2017,Total,All Races,All Ages,78,"207,298",39,30.4,47.7,-
Age-Adjusted Rate,Asthma,Wayne,127,2017,Total,All Races,All Ages,ND,"51,205",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Westmoreland,129,2017,Total,All Races,All Ages,164,"352,627",44.6,37.8,51.4,-
Age-Adjusted Rate,Asthma,Wyoming,131,2017,Total,All Races,All Ages,11,"27,322",ND,ND,ND,-
Age-Adjusted Rate,Asthma,York,133,2017,Total,All Races,All Ages,217,"446,078",49,42.5,55.5,-
Age-Adjusted Rate,Asthma,Pennsylvania,0,2016,Total,All Races,All Ages,"10,336","12,784,227",86.7,85.1,88.4,
Age-Adjusted Rate,Asthma,Adams,1,2016,Total,All Races,All Ages,32,"102,180",32.4,21.2,43.6,-
Age-Adjusted Rate,Asthma,Allegheny,3,2016,Total,All Races,All Ages,768,"1,225,365",62.9,58.5,67.4,-
Age-Adjusted Rate,Asthma,Armstrong,5,2016,Total,All Races,All Ages,33,"66,486",45.5,30,61,-
Age-Adjusted Rate,Asthma,Beaver,7,2016,Total,All Races,All Ages,55,"167,429",31.3,23,39.6,-
Age-Adjusted Rate,Asthma,Bedford,9,2016,Total,All Races,All Ages,15,"48,325",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Berks,11,2016,Total,All Races,All Ages,367,"414,812",92.7,83.2,102.2,
Age-Adjusted Rate,Asthma,Blair,13,2016,Total,All Races,All Ages,53,"124,650",42.1,30.8,53.4,-
Age-Adjusted Rate,Asthma,Bradford,15,2016,Total,All Races,All Ages,29,"60,770",43.4,27.6,59.2,-
Age-Adjusted Rate,Asthma,Bucks,17,2016,Total,All Races,All Ages,363,"626,399",59.2,53.1,65.2,-
Age-Adjusted Rate,Asthma,Butler,19,2016,Total,All Races,All Ages,54,"186,847",26.4,19.4,33.5,-
Age-Adjusted Rate,Asthma,Cambria,21,2016,Total,All Races,All Ages,50,"134,732",43,31.1,55,-
Age-Adjusted Rate,Asthma,Cameron,23,2016,Total,All Races,All Ages,ND,"4,677",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Carbon,25,2016,Total,All Races,All Ages,34,"63,594",58.7,39,78.4,-
Age-Adjusted Rate,Asthma,Centre,27,2016,Total,All Races,All Ages,56,"161,464",42.3,31.2,53.4,-
Age-Adjusted Rate,Asthma,Chester,29,2016,Total,All Races,All Ages,232,"516,312",45.3,39.5,51.1,-
Age-Adjusted Rate,Asthma,Clarion,31,2016,Total,All Races,All Ages,ND,"38,513",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Clearfield,33,2016,Total,All Races,All Ages,28,"80,596",31.8,20,43.5,-
Age-Adjusted Rate,Asthma,Clinton,35,2016,Total,All Races,All Ages,12,"39,233",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Columbia,37,2016,Total,All Races,All Ages,25,"66,420",39.6,24,55.1,-
Age-Adjusted Rate,Asthma,Crawford,39,2016,Total,All Races,All Ages,35,"86,257",42.3,28.3,56.3,-
Age-Adjusted Rate,Asthma,Cumberland,41,2016,Total,All Races,All Ages,76,"248,506",33,25.6,40.4,-
Age-Adjusted Rate,Asthma,Dauphin,43,2016,Total,All Races,All Ages,219,"273,707",88.1,76.4,99.7,
Age-Adjusted Rate,Asthma,Delaware,45,2016,Total,All Races,All Ages,606,"563,402",115.2,106,124.3,+
Age-Adjusted Rate,Asthma,Elk,47,2016,Total,All Races,All Ages,10,"30,480",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Erie,49,2016,Total,All Races,All Ages,98,"276,207",35.8,28.7,42.9,-
Age-Adjusted Rate,Asthma,Fayette,51,2016,Total,All Races,All Ages,87,"132,733",64,50.5,77.4,-
Age-Adjusted Rate,Asthma,Forest,53,2016,Total,All Races,All Ages,ND,"7,321",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Franklin,55,2016,Total,All Races,All Ages,60,"153,851",40.4,30.1,50.6,-
Age-Adjusted Rate,Asthma,Fulton,57,2016,Total,All Races,All Ages,ND,"14,640",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Greene,59,2016,Total,All Races,All Ages,11,"37,197",ND,ND,ND,-
Age-Adjusted Rate,Asthma,Huntingdon,61,2016,Total,All Races,All Ages,18,"45,634",ND,ND,ND,-
