Incidence Rate Report for New York by County

"Melanoma of the Skin (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Chautauqua County(7)",36013,***,26.7 ,23, 30.8,21 , 3 , 40,43,rising,3.0 ,1.4, 4.5
"Wayne County(7)",36117,***,26.1 ,21.8, 30.9,22 , 2 , 45,29,rising,5.3 ,3.5, 7.2
"Suffolk County(7)",36103,***,25.8 ,24.7, 26.9,23 , 15 , 31,475,stable,-1.0 ,-3.3, 1.4
"Washington County(7)",36115,***,25.2 ,20.4, 30.9,24 , 2 , 49,21,rising,2.8 ,0.2, 5.5
"Wyoming County(7)",36121,***,25.1 ,19.2, 32.5,25 , 1 , 56,13,rising,4.2 ,0.8, 7.6
"Chenango County(7)",36017,***,25.1 ,19.7, 31.6,26 , 2 , 54,16,rising,3.9 ,0.6, 7.3
"Clinton County(7)",36019,***,25 ,20.6, 30,27 , 4 , 48,24,rising,4.8 ,2.3, 7.4
"Steuben County(7)",36101,***,24 ,20, 28.5,28 , 7 , 50,28,stable,1.2 ,-0.4, 2.8
"Fulton County(7)",36035,***,23.5 ,18.4, 29.8,29 , 4 , 56,16,rising,3.6 ,0.8, 6.3
"Delaware County(7)",36025,***,23.4 ,17.6, 30.4,30 , 2 , 57,14,stable,2.5 ,-0.3, 5.3
"Schoharie County(7)",36095,***,23.1 ,16.9, 31.1,31 , 2 , 58,10,stable,2.9 ,-1.2, 7.2
"Nassau County(7)",36059,***,22.5 ,21.5, 23.6,32 , 26 , 41,395,falling,-1.6 ,-2.9, -0.3
"Chemung County(7)",36015,***,22.5 ,18.5, 27.1,33 , 10 , 55,24,stable,1.5 ,-0.3, 3.3
"Rensselaer County(7)",36083,***,22.4 ,19.4, 25.7,34 , 17 , 50,44,rising,2.6 ,0.8, 4.5
"Albany County(7)",36001,***,22.3 ,20.1, 24.7,35 , 21 , 47,79,rising,4.6 ,3.3, 6.0
"St. Lawrence County(7)",36089,***,22.2 ,18.6, 26.3,36 , 14 , 54,29,stable,1.2 ,-1.3, 3.8
"Tompkins County(7)",36109,***,21.6 ,17.8, 26.1,37 , 15 , 56,24,stable,0.3 ,-2.3, 3.0
"Madison County(7)",36053,***,21.5 ,17.2, 26.7,38 , 12 , 57,19,stable,1.3 ,-1.2, 3.9
"Essex County(7)",36031,***,21.5 ,16.2, 28.2,39 , 6 , 58,13,stable,0.2 ,-2.6, 3.2
"Lewis County(7)",36049,***,21.3 ,14.6, 30.2,40 , 3 , 58,7,stable,2.8 ,-1.0, 6.6
"Herkimer County(7)",36043,***,21.3 ,16.7, 26.7,41 , 11 , 58,17,rising,4.8 ,1.9, 7.8
"Oswego County(7)",36075,***,20.9 ,17.4, 24.8,42 , 19 , 57,28,rising,2.7 ,0.9, 4.6
"Orange County(7)",36071,***,20.3 ,18.3, 22.3,43 , 28 , 53,84,rising,3.4 ,1.7, 5.1
"Putnam County(7)",36079,***,20.2 ,16.7, 24.3,44 , 20 , 58,25,stable,0.2 ,-1.8, 2.3
"Onondaga County(7)",36067,***,19.5 ,17.8, 21.3,45 , 33 , 54,107,stable,0.5 ,-1.5, 2.6
"Columbia County(7)",36021,***,18.7 ,14.6, 23.8,46 , 22 , 58,16,stable,-2.3 ,-4.9, 0.5
"Westchester County(7)",36119,***,18.6 ,17.5, 19.7,47 , 39 , 54,227,stable,1.1 ,-0.2, 2.3
"Oneida County(7)",36065,***,18.6 ,16.3, 21.1,48 , 33 , 57,52,rising,1.9 ,0.5, 3.3
"Dutchess County(7)",36027,***,18.3 ,16.3, 20.4,49 , 35 , 57,69,stable,-7.9 ,-17.0, 2.1
"Sullivan County(7)",36105,***,17.7 ,14, 22.2,50 , 26 , 58,17,rising,2.8 ,0.4, 5.3
"New York County(7)",36061,***,17.4 ,16.6, 18.3,51 , 44 , 57,339,falling,-2.6 ,-4.3, -0.8
"Franklin County(7)",36033,***,17.1 ,12.7, 22.5,52 , 25 , 58,11,stable,-0.2 ,-3.8, 3.5
"Rockland County(7)",36087,***,17 ,15.1, 19,53 , 41 , 58,63,stable,-1.8 ,-3.8, 0.2
"Greene County(7)",36039,***,16.6 ,12.3, 21.9,54 , 27 , 58,11,stable,0.1 ,-2.2, 2.5
"Ulster County(7)",36111,***,16.4 ,14.1, 19.1,55 , 40 , 58,38,stable,0.6 ,-1.4, 2.7
"Montgomery County(7)",36057,***,16.3 ,12, 21.8,56 , 27 , 58,10,stable,0.0 ,-2.8, 2.9
"Schenectady County(7)",36093,***,16.1 ,13.5, 18.9,57 , 40 , 58,31,stable,-2.7 ,-5.8, 0.6
"Richmond County(7)",36085,***,15.6 ,14.2, 17.2,58 , 48 , 58,88,stable,-5.6 ,-11.8, 1.1
"Kings County(7)",36047,***,8.5 ,8, 9,59 , 59 , 60,229,stable,-1.3 ,-2.5, 0.0
"Queens County(7)",36081,***,7.7 ,7.2, 8.2,60 , 59 , 60,204,falling,-2.6 ,-3.6, -1.6
"Bronx County(7)",36005,***,4.3 ,3.8, 4.8,61 , 61 , 61,59,stable,-0.3 ,-1.8, 1.3
"Hamilton County(7)",36041,***,* ,*, *,* , * , *,3 or fewer,*,*,*,*

Created by statecancerprofiles.cancer.gov on 11/21/2021 8:54 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2018 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
*** No Healthy People 2020 Objective for this cancer.
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2020 submission."
7 Source: SEER November 2020 submission.
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2018 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2020 data. "


"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
