Incidence Rate Report for Ohio by County

"Lung & Bronchus (All Stages^), 2014-2018"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Recent Trend,"Recent 5-Year Trend ([trend note]) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Washington County(6)",39167,***,82.3 ,74.2, 91.2,21 , 4 , 45,78,stable,-0.1 ,-1.5, 1.3
"Meigs County(6)",39105,***,81.8 ,68.1, 97.7,22 , 1 , 71,27,stable,-0.8 ,-2.5, 1.0
"Clinton County(6)",39027,***,81.7 ,71.2, 93.5,23 , 2 , 58,45,stable,-0.1 ,-1.9, 1.6
"Hardin County(6)",39065,***,80.1 ,67.6, 94.4,24 , 2 , 72,30,stable,0.3 ,-1.9, 2.5
"Ashtabula County(6)",39007,***,79.1 ,72.5, 86.2,25 , 9 , 44,111,stable,-0.3 ,-1.5, 0.8
"Highland County(6)",39071,***,79.1 ,68.9, 90.4,26 , 4 , 63,45,stable,0.0 ,-1.3, 1.4
"Licking County(6)",39089,***,78.3 ,73.1, 83.9,27 , 13 , 43,172,stable,0.2 ,-1.0, 1.3
"Paulding County(6)",39125,***,77.9 ,63.2, 95.4,28 , 1 , 79,20,stable,0.5 ,-2.3, 3.5
"Logan County(6)",39091,***,77.9 ,68.1, 88.8,29 , 5 , 66,48,stable,-0.8 ,-2.1, 0.6
"Madison County(6)",39097,***,76.9 ,66.6, 88.5,30 , 6 , 70,41,stable,-0.9 ,-2.4, 0.6
"Clermont County(6)",39025,***,75.4 ,70.6, 80.5,31 , 18 , 48,191,falling,-2.7 ,-3.6, -1.8
"Jefferson County(6)",39081,***,74.8 ,67.4, 82.9,32 , 13 , 62,79,stable,-1.2 ,-2.6, 0.1
"Athens County(6)",39009,***,74.4 ,65.1, 84.7,33 , 10 , 69,49,stable,-1.1 ,-2.3, 0.2
"Carroll County(6)",39019,***,73.2 ,61.7, 86.5,34 , 6 , 79,31,stable,-0.6 ,-2.3, 1.1
"Hocking County(6)",39073,***,73 ,61.5, 86.2,35 , 6 , 79,30,stable,-0.3 ,-2.4, 1.8
"Champaign County(6)",39021,***,71.7 ,61.7, 83,36 , 11 , 77,38,stable,0.2 ,-1.8, 2.3
"Trumbull County(6)",39155,***,71 ,66.7, 75.5,37 , 26 , 60,216,falling,-1.0 ,-1.8, -0.1
"Montgomery County(6)",39113,***,70.8 ,68, 73.7,38 , 28 , 53,502,falling,-1.2 ,-1.8, -0.6
"Hamilton County(6)",39061,***,70.6 ,68.2, 73.1,39 , 30 , 53,677,falling,-1.2 ,-1.7, -0.6
"Richland County(6)",39139,***,70.6 ,65, 76.6,40 , 22 , 67,122,stable,-0.1 ,-1.0, 0.9
"Knox County(6)",39083,***,69.3 ,61.3, 78,41 , 19 , 75,57,stable,-0.8 ,-2.2, 0.7
"Allen County(6)",39003,***,69 ,62.7, 75.8,42 , 24 , 72,92,stable,-8.9 ,-22.1, 6.6
"Butler County(6)",39017,***,69 ,65.4, 72.7,43 , 30 , 64,295,falling,-1.2 ,-1.9, -0.5
"Coshocton County(6)",39031,***,68.8 ,59, 80,44 , 15 , 81,36,stable,-1.4 ,-3.4, 0.6
"Belmont County(6)",39013,***,68.7 ,61.5, 76.7,45 , 22 , 76,70,stable,-1.1 ,-2.6, 0.4
"Monroe County(6)",39111,***,68.7 ,54.1, 86.8,46 , 5 , 87,16,stable,-0.5 ,-3.3, 2.3
"Defiance County(6)",39039,***,68.6 ,58.7, 79.8,47 , 15 , 80,36,stable,-1.0 ,-2.8, 0.9
"Columbiana County(6)",39029,***,66.6 ,60.9, 72.8,48 , 28 , 74,106,falling,-1.5 ,-2.4, -0.5
"Lucas County(6)",39095,***,66.3 ,63.2, 69.6,49 , 35 , 68,351,falling,-1.4 ,-1.9, -0.9
"Lake County(6)",39085,***,66.3 ,62.4, 70.4,50 , 34 , 71,222,falling,-1.2 ,-2.2, -0.1
"Franklin County(6)",39049,***,66 ,64, 68.2,51 , 41 , 65,797,falling,-2.0 ,-2.4, -1.5
"Lorain County(6)",39093,***,65.8 ,62.3, 69.5,52 , 35 , 71,270,falling,-1.5 ,-2.0, -1.1
"Williams County(6)",39171,***,65.2 ,55.5, 76.2,53 , 19 , 86,33,stable,-1.2 ,-2.8, 0.3
"Henry County(6)",39069,***,65 ,53.8, 78.1,54 , 16 , 87,25,stable,0.7 ,-1.4, 2.8
"Sandusky County(6)",39143,***,65 ,57.2, 73.6,55 , 25 , 82,53,stable,-0.8 ,-2.1, 0.5
"Union County(6)",39159,***,64.9 ,55.5, 75.4,56 , 21 , 85,36,stable,-1.5 ,-3.3, 0.3
"Stark County(6)",39151,***,64.9 ,61.8, 68.1,57 , 39 , 70,347,stable,-0.6 ,-1.2, 0.0
"Tuscarawas County(6)",39157,***,64.8 ,58.6, 71.5,58 , 30 , 79,85,stable,0.0 ,-1.2, 1.2
"Portage County(6)",39133,***,64 ,59.1, 69.3,59 , 35 , 76,130,falling,-1.5 ,-2.6, -0.4
"Cuyahoga County(6)",39035,***,63.7 ,62, 65.5,60 , 47 , 70,1086,falling,-1.6 ,-2.1, -1.2
"Seneca County(6)",39147,***,63.6 ,55.6, 72.5,61 , 27 , 84,48,stable,-0.2 ,-2.1, 1.8
"Erie County(6)",39043,***,62.8 ,56.5, 69.9,62 , 33 , 82,74,falling,-2.2 ,-3.5, -0.8
"Hancock County(6)",39063,***,62.6 ,55.7, 70.2,63 , 31 , 83,62,stable,0.0 ,-1.5, 1.6
"Fulton County(6)",39051,***,62.6 ,53.4, 73,64 , 25 , 87,35,stable,0.2 ,-1.7, 2.1
"Summit County(6)",39153,***,62.4 ,59.8, 65.1,65 , 48 , 74,452,falling,-1.2 ,-1.9, -0.6
"Ashland County(6)",39005,***,62.4 ,54.5, 71.3,66 , 29 , 85,46,stable,-0.8 ,-2.3, 0.7
"Fairfield County(6)",39045,***,62.1 ,57.1, 67.5,67 , 39 , 81,117,falling,-4.1 ,-5.9, -2.2
"Huron County(6)",39077,***,62.1 ,54.3, 70.8,68 , 29 , 85,47,falling,-5.0 ,-7.4, -2.6
"Miami County(6)",39109,***,60.6 ,54.9, 66.7,69 , 38 , 83,87,falling,-4.1 ,-5.4, -2.8
"Warren County(6)",39165,***,60.5 ,56.2, 65,70 , 46 , 82,153,falling,-1.8 ,-2.9, -0.6
"Shelby County(6)",39149,***,60.2 ,51.6, 70,71 , 30 , 87,36,stable,-0.9 ,-2.4, 0.6
"Ottawa County(6)",39123,***,60.1 ,51.7, 69.7,72 , 31 , 87,41,falling,-2.1 ,-3.5, -0.6
"Wyandot County(6)",39175,***,59.9 ,48.2, 73.9,73 , 21 , 88,19,stable,-1.4 ,-3.4, 0.8
"Medina County(6)",39103,***,57.4 ,53, 62,74 , 54 , 85,135,stable,-0.7 ,-1.6, 0.1
"Mahoning County(6)",39099,***,55.8 ,52.2, 59.6,75 , 65 , 85,194,falling,-1.8 ,-2.9, -0.6
"Wayne County(6)",39169,***,55.4 ,50.1, 61.1,76 , 55 , 87,84,falling,-1.6 ,-2.7, -0.4
"Van Wert County(6)",39161,***,54.6 ,44.9, 66,77 , 34 , 88,23,stable,-2.1 ,-4.5, 0.2
"Putnam County(6)",39137,***,54.3 ,44.9, 65.2,78 , 38 , 88,24,stable,0.1 ,-2.0, 2.3
"Greene County(6)",39057,***,54 ,49.6, 58.8,79 , 65 , 88,115,falling,-1.8 ,-2.6, -0.9
"Mercer County(6)",39107,***,53.7 ,45, 63.7,80 , 45 , 88,29,stable,-1.0 ,-3.5, 1.5
"Wood County(6)",39173,***,53.2 ,48, 58.9,81 , 63 , 88,79,falling,-1.8 ,-2.9, -0.7
"Noble County(6)",39121,***,52.4 ,39.4, 69.1,82 , 27 , 88,13,stable,-1.0 ,-4.5, 2.7
"Auglaize County(6)",39011,***,52 ,44.3, 60.9,83 , 51 , 88,33,stable,-1.5 ,-3.7, 0.6
"Darke County(6)",39037,***,51.9 ,44.7, 60.1,84 , 54 , 88,38,stable,0.0 ,-2.0, 2.0
"Harrison County(6)",39067,***,51.8 ,39.5, 67.5,85 , 33 , 88,13,falling,-3.3 ,-5.8, -0.8
"Delaware County(6)",39041,***,49.6 ,45.3, 54.3,86 , 73 , 88,100,falling,-4.0 ,-5.4, -2.7
"Geauga County(6)",39055,***,49 ,43.9, 54.7,87 , 73 , 88,68,falling,-1.9 ,-3.2, -0.5
"Holmes County(6)",39075,***,45.7 ,37.3, 55.5,88 , 68 , 88,21,stable,0.8 ,-1.5, 3.2

Created by statecancerprofiles.cancer.gov on 11/22/2021 9:50 pm.

State Cancer Registries may provide more current or more local data.


Trend
   Rising when 95% confidence interval of average annual percent change is above 0.
   Stable when 95% confidence interval of average annual percent change includes 0.
   Falling when 95% confidence interval of average annual percent change is below 0.

"[rate note] Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2018 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"[trend note] Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
"[rank note]Results presented with the CI*Rank statistics help show the usefulness of ranks. For example, ranks for relatively rare diseases or less populated areas may be essentially meaningless because of their large variability, but ranks for more common diseases in densely populated regions can be very useful. More information about methodology can be found on the CI*Rank website."
*** No Healthy People 2020 Objective for this cancer.
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 


"1 Source: National Program of Cancer Registries [ https://www.cdc.gov/cancer/npcr/index.htm ] and Surveillance, Epidemiology, and End Results [ http://seer.cancer.gov ] SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute. Based on the 2020 submission."
"6 Source: National Program of Cancer Registries SEER*Stat Database (2001-2018) - United States Department of Health and Human Services, Centers for Disease Control and Prevention (based on the 2020 submission).  [ https://www.cdc.gov/cancer/npcr/index.htm ]"
"8 Source: Incidence data provided by the SEER Program. ( http://seer.cancer.gov ) AAPCs are calculated by the Joinpoint Regression Program ( https://surveillance.cancer.gov/joinpoint/ ) and are based on APCs. Data are age-adjusted to the 2000 US standard population ( http://www.seer.cancer.gov/stdpopulations/single_age.html ) (19 age groups: <1, 1-4, 5-9, ... , 80-84,85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Population counts for denominators are based on Census populations as modifed by NCI. The 1969-2018 US Population Data ( http://seer.cancer.gov/popdata/ ) File is used with SEER November 2020 data. "


"Interpret Rankings provides insight into interpreting cancer incidence statistics.  When the population size for a denominator is small, the rates may be unstable.  A rate is unstable when a small change in the numerator (e.g., only one or two additional cases) has a dramatic effect on the calculated rate."

Data for United States does not include Puerto Rico.
