state,county,outcome,age_adjusted_incidence_rate,fips
NY,Orleans,lung cancer,85.8,36073
NY,Orleans,melanoma,32.2,36073
NY,Oswego,asthma,42.7,36075
NY,Oswego,lung cancer,98.8,36075
NY,Oswego,melanoma,20.9,36075
NY,Otsego,asthma,49.46,36077
NY,Otsego,lung cancer,55.6,36077
NY,Otsego,melanoma,31.2,36077
NY,Putnam,asthma,72.7,36079
NY,Putnam,lung cancer,64.4,36079
NY,Putnam,melanoma,20.2,36079
NY,Queens,asthma,139.3,36081
NY,Queens,lung cancer,43.2,36081
NY,Queens,melanoma,7.7,36081
NY,Rensselaer,asthma,88.03,36083
NY,Rensselaer,lung cancer,82,36083
NY,Rensselaer,melanoma,22.4,36083
NY,Richmond,asthma,154.84,36085
NY,Richmond,lung cancer,65.9,36085
NY,Richmond,melanoma,15.6,36085
NY,Rockland,asthma,80.99,36087
NY,Rockland,lung cancer,49.2,36087
NY,Rockland,melanoma,17,36087
NY,Saratoga,asthma,41.29,36091
NY,Saratoga,lung cancer,71.7,36091
NY,Saratoga,melanoma,26.8,36091
NY,Schenectady,asthma,70.98,36093
NY,Schenectady,lung cancer,68.7,36093
NY,Schenectady,melanoma,16.1,36093
NY,Schoharie,asthma,39.79,36095
NY,Schoharie,lung cancer,60.9,36095
NY,Schoharie,melanoma,23.1,36095
NY,Schuyler,asthma,53.65,36097
NY,Schuyler,lung cancer,80.5,36097
NY,Schuyler,melanoma,30.2,36097
NY,Seneca,asthma,29.47,36099
NY,Seneca,lung cancer,75.5,36099
NY,Seneca,melanoma,29.6,36099
NY,Steuben,asthma,47.23,36101
NY,Steuben,lung cancer,70.8,36101
NY,Steuben,melanoma,24,36101
NY,Suffolk,asthma,106.27,36103
NY,Suffolk,lung cancer,66.3,36103
NY,Suffolk,melanoma,25.8,36103
NY,Sullivan,asthma,96.2,36105
NY,Sullivan,lung cancer,66.1,36105
NY,Sullivan,melanoma,17.7,36105
NY,Tioga,asthma,40.55,36107
NY,Tioga,lung cancer,65.6,36107
NY,Tioga,melanoma,30.1,36107
NY,Tompkins,asthma,25.22,36109
NY,Tompkins,lung cancer,52.2,36109
NY,Tompkins,melanoma,21.6,36109
NY,Ulster,asthma,88.87,36111
NY,Ulster,lung cancer,64.7,36111
NY,Ulster,melanoma,16.4,36111
NY,Warren,asthma,74.44,36113
NY,Warren,lung cancer,78.5,36113
NY,Warren,melanoma,30.7,36113
NY,Washington,asthma,64.85,36115
NY,Washington,lung cancer,75.8,36115
NY,Washington,melanoma,25.2,36115
NY,Wayne,asthma,62.86,36117
NY,Wayne,lung cancer,74.8,36117
NY,Wayne,melanoma,26.1,36117
NY,Westchester,asthma,115.64,36119
NY,Westchester,lung cancer,47.1,36119
NY,Westchester,melanoma,18.6,36119
NY,Wyoming,asthma,65.5,36121
NY,Wyoming,lung cancer,69.4,36121
NY,Wyoming,melanoma,25.1,36121
NY,Yates,asthma,24.17,36123
NY,Yates,lung cancer,66.2,36123
NY,Yates,melanoma,31.8,36123
OH,Adams,asthma,32,39001
OH,Adams,lung cancer,98.4,39001
OH,Adams,melanoma,29.3,39001
OH,Allen,asthma,61,39003
OH,Allen,lung cancer,69,39003
OH,Allen,melanoma,19.9,39003
OH,Ashland,asthma,23,39005
OH,Ashland,lung cancer,62.4,39005
OH,Ashland,melanoma,25.3,39005
OH,Ashtabula,asthma,60,39007
OH,Ashtabula,lung cancer,79.1,39007
OH,Ashtabula,melanoma,22.3,39007
OH,Athens,asthma,18,39009
OH,Athens,lung cancer,74.4,39009
OH,Athens,melanoma,26.7,39009
OH,Auglaize,asthma,35,39011
OH,Auglaize,lung cancer,52,39011
OH,Auglaize,melanoma,32.3,39011
OH,Belmont,asthma,26,39013
OH,Belmont,lung cancer,68.7,39013
OH,Belmont,melanoma,22.6,39013
OH,Brown,asthma,45,39015
OH,Brown,lung cancer,96.8,39015
OH,Brown,melanoma,27.4,39015
OH,Butler,asthma,51,39017
OH,Butler,lung cancer,69,39017
OH,Butler,melanoma,20.8,39017
OH,Carroll,asthma,28,39019
OH,Carroll,lung cancer,73.2,39019
OH,Carroll,melanoma,17.9,39019
OH,Champaign,asthma,56,39021
OH,Champaign,lung cancer,71.7,39021
OH,Champaign,melanoma,31.8,39021
OH,Clark,asthma,66,39023
OH,Clark,lung cancer,83.4,39023
OH,Clark,melanoma,27.4,39023
OH,Clermont,asthma,39,39025
OH,Clermont,lung cancer,75.4,39025
OH,Clermont,melanoma,28,39025
OH,Clinton,asthma,36,39027
OH,Clinton,lung cancer,81.7,39027
OH,Clinton,melanoma,27.8,39027
OH,Columbiana,asthma,44,39029
OH,Columbiana,lung cancer,66.6,39029
OH,Columbiana,melanoma,21.9,39029
OH,Coshocton,asthma,46,39031
OH,Coshocton,lung cancer,68.8,39031
OH,Coshocton,melanoma,28.3,39031
OH,Crawford,asthma,12,39033
OH,Crawford,lung cancer,85.6,39033
OH,Crawford,melanoma,16.2,39033
OH,Cuyahoga,asthma,103,39035
OH,Cuyahoga,lung cancer,63.7,39035
OH,Cuyahoga,melanoma,20,39035
OH,Darke,asthma,48,39037
OH,Darke,lung cancer,51.9,39037
OH,Darke,melanoma,33.4,39037
OH,Defiance,asthma,52,39039
OH,Defiance,lung cancer,68.6,39039
OH,Defiance,melanoma,14.4,39039
OH,Delaware,asthma,25,39041
OH,Delaware,lung cancer,49.6,39041
OH,Delaware,melanoma,28.2,39041
OH,Erie,asthma,75,39043
OH,Erie,lung cancer,62.8,39043
OH,Erie,melanoma,33.1,39043
OH,Fairfield,asthma,31,39045
OH,Fairfield,lung cancer,62.1,39045
OH,Fairfield,melanoma,24.2,39045
OH,Fayette,asthma,45,39047
OH,Fayette,lung cancer,89.3,39047
OH,Fayette,melanoma,30,39047
OH,Franklin,asthma,65,39049
OH,Franklin,lung cancer,66,39049
OH,Franklin,melanoma,20.2,39049
OH,Fulton,asthma,33,39051
OH,Fulton,lung cancer,62.6,39051
OH,Fulton,melanoma,20.1,39051
OH,Gallia,lung cancer,87.3,39053
OH,Gallia,melanoma,23.4,39053
OH,Geauga,asthma,36,39055
OH,Geauga,lung cancer,49,39055
OH,Geauga,melanoma,34.7,39055
OH,Greene,asthma,58,39057
OH,Greene,lung cancer,54,39057
OH,Greene,melanoma,28.2,39057
OH,Guernsey,asthma,23,39059
OH,Guernsey,lung cancer,91.1,39059
OH,Guernsey,melanoma,16.9,39059
OH,Hamilton,asthma,87,39061
OH,Hamilton,lung cancer,70.6,39061
OH,Hamilton,melanoma,24.3,39061
OH,Hancock,asthma,41,39063
OH,Hancock,lung cancer,62.6,39063
OH,Hancock,melanoma,26.4,39063
OH,Hardin,asthma,25,39065
OH,Hardin,lung cancer,80.1,39065
OH,Hardin,melanoma,19.5,39065
OH,Harrison,asthma,26,39067
OH,Harrison,lung cancer,51.8,39067
OH,Harrison,melanoma,20,39067
OH,Henry,asthma,36,39069
OH,Henry,lung cancer,65,39069
OH,Henry,melanoma,21.5,39069
OH,Highland,asthma,28,39071
OH,Highland,lung cancer,79.1,39071
OH,Highland,melanoma,23.4,39071
OH,Hocking,asthma,21,39073
OH,Hocking,lung cancer,73,39073
OH,Hocking,melanoma,26.1,39073
OH,Holmes,asthma,5,39075
OH,Holmes,lung cancer,45.7,39075
OH,Holmes,melanoma,24.7,39075
OH,Huron,asthma,31,39077
OH,Huron,lung cancer,62.1,39077
OH,Huron,melanoma,28.5,39077
OH,Jackson,asthma,9,39079
OH,Jackson,lung cancer,99.6,39079
OH,Jackson,melanoma,24.6,39079
OH,Jefferson,asthma,43,39081
OH,Jefferson,lung cancer,74.8,39081
OH,Jefferson,melanoma,22.2,39081
OH,Knox,asthma,35,39083
OH,Knox,lung cancer,69.3,39083
OH,Knox,melanoma,28.2,39083
OH,Lake,asthma,46,39085
OH,Lake,lung cancer,66.3,39085
OH,Lake,melanoma,30.9,39085
OH,Lawrence,asthma,2,39087
OH,Lawrence,lung cancer,92.9,39087
OH,Lawrence,melanoma,26.3,39087
OH,Licking,asthma,32,39089
OH,Licking,lung cancer,78.3,39089
OH,Licking,melanoma,30.7,39089
OH,Logan,asthma,29,39091
OH,Logan,lung cancer,77.9,39091
OH,Logan,melanoma,29.4,39091
OH,Lorain,asthma,65,39093
OH,Lorain,lung cancer,65.8,39093
OH,Lorain,melanoma,25.1,39093
OH,Lucas,asthma,85,39095
OH,Lucas,lung cancer,66.3,39095
OH,Lucas,melanoma,21.1,39095
OH,Madison,asthma,28,39097
OH,Madison,lung cancer,76.9,39097
OH,Madison,melanoma,30.1,39097
OH,Mahoning,asthma,76,39099
OH,Mahoning,lung cancer,55.8,39099
OH,Mahoning,melanoma,19.1,39099
OH,Marion,asthma,55,39101
OH,Marion,lung cancer,85.4,39101
OH,Marion,melanoma,20.6,39101
OH,Medina,asthma,26,39103
OH,Medina,lung cancer,57.4,39103
OH,Medina,melanoma,31.2,39103
OH,Meigs,asthma,0,39105
OH,Meigs,lung cancer,81.8,39105
OH,Meigs,melanoma,18.3,39105
OH,Mercer,asthma,20,39107
OH,Mercer,lung cancer,53.7,39107
OH,Mercer,melanoma,31.3,39107
OH,Miami,asthma,48,39109
OH,Miami,lung cancer,60.6,39109
OH,Miami,melanoma,37.3,39109
OH,Monroe,asthma,14,39111
OH,Monroe,lung cancer,68.7,39111
OH,Monroe,melanoma,29,39111
OH,Montgomery,asthma,119,39113
OH,Montgomery,lung cancer,70.8,39113
OH,Montgomery,melanoma,27.3,39113
OH,Morgan,asthma,27,39115
OH,Morgan,lung cancer,86.9,39115
OH,Morgan,melanoma,18.1,39115
OH,Morrow,asthma,20,39117
OH,Morrow,lung cancer,85.2,39117
OH,Morrow,melanoma,25.1,39117
OH,Muskingum,asthma,47,39119
OH,Muskingum,lung cancer,82.3,39119
OH,Muskingum,melanoma,32.2,39119
OH,Noble,asthma,0,39121
OH,Noble,lung cancer,52.4,39121
OH,Noble,melanoma,15.9,39121
OH,Ottawa,asthma,46,39123
OH,Ottawa,lung cancer,60.1,39123
OH,Ottawa,melanoma,30.6,39123
OH,Paulding,asthma,21,39125
OH,Paulding,lung cancer,77.9,39125
OH,Paulding,melanoma,21.8,39125
OH,Perry,asthma,56,39127
OH,Perry,lung cancer,94.4,39127
OH,Perry,melanoma,23.6,39127
OH,Pickaway,asthma,30,39129
OH,Pickaway,lung cancer,87,39129
OH,Pickaway,melanoma,25.2,39129
OH,Pike,asthma,39,39131
OH,Pike,lung cancer,97,39131
OH,Pike,melanoma,28.6,39131
OH,Portage,asthma,31,39133
OH,Portage,lung cancer,64,39133
OH,Portage,melanoma,27.3,39133
OH,Preble,asthma,29,39135
OH,Preble,lung cancer,90.2,39135
OH,Preble,melanoma,30.5,39135
OH,Putnam,asthma,21,39137
OH,Putnam,lung cancer,54.3,39137
OH,Putnam,melanoma,32.4,39137
OH,Richland,asthma,33,39139
OH,Richland,lung cancer,70.6,39139
OH,Richland,melanoma,21.8,39139
OH,Ross,asthma,23,39141
OH,Ross,lung cancer,92.3,39141
OH,Ross,melanoma,30.8,39141
OH,Sandusky,asthma,37,39143
OH,Sandusky,lung cancer,65,39143
OH,Sandusky,melanoma,28.2,39143
OH,Scioto,asthma,31,39145
OH,Scioto,lung cancer,88.4,39145
OH,Scioto,melanoma,22.7,39145
OH,Seneca,asthma,38,39147
OH,Seneca,lung cancer,63.6,39147
OH,Seneca,melanoma,23.7,39147
OH,Shelby,asthma,27,39149
OH,Shelby,lung cancer,60.2,39149
OH,Shelby,melanoma,27.6,39149
OH,Stark,asthma,40,39151
OH,Stark,lung cancer,64.9,39151
OH,Stark,melanoma,26.9,39151
OH,Summit,asthma,39,39153
OH,Summit,lung cancer,62.4,39153
OH,Summit,melanoma,25.3,39153
OH,Trumbull,asthma,50,39155
OH,Trumbull,lung cancer,71,39155
OH,Trumbull,melanoma,25.9,39155
OH,Tuscarawas,asthma,18,39157
OH,Tuscarawas,lung cancer,64.8,39157
OH,Tuscarawas,melanoma,27.9,39157
OH,Union,asthma,19,39159
OH,Union,lung cancer,64.9,39159
OH,Union,melanoma,27.9,39159
OH,Van Wert,asthma,32,39161
OH,Van Wert,lung cancer,54.6,39161
OH,Van Wert,melanoma,14.7,39161
OH,Vinton,asthma,30,39163
OH,Vinton,lung cancer,101.1,39163
OH,Vinton,melanoma,20.3,39163
OH,Warren,asthma,20,39165
OH,Warren,lung cancer,60.5,39165
OH,Warren,melanoma,33.2,39165
OH,Washington,asthma,15,39167
OH,Washington,lung cancer,82.3,39167
OH,Washington,melanoma,23.3,39167
OH,Wayne,asthma,32,39169
OH,Wayne,lung cancer,55.4,39169
OH,Wayne,melanoma,30.3,39169
OH,Williams,asthma,43,39171
OH,Williams,lung cancer,65.2,39171
OH,Williams,melanoma,18.4,39171
OH,Wood,asthma,33,39173
OH,Wood,lung cancer,53.2,39173
OH,Wood,melanoma,32.1,39173
OH,Wyandot,asthma,22,39175
OH,Wyandot,lung cancer,59.9,39175
OH,Wyandot,melanoma,15.8,39175
PA,Adams,asthma,32.4,42001
PA,Adams,lung cancer,64.1,42001
PA,Adams,melanoma,33,42001
PA,Allegheny,asthma,62.9,42003
PA,Allegheny,lung cancer,67.9,42003
PA,Allegheny,melanoma,23.2,42003
PA,Armstrong,asthma,45.5,42005
PA,Armstrong,lung cancer,59.7,42005
PA,Armstrong,melanoma,24.9,42005
PA,Beaver,asthma,31.3,42007
PA,Beaver,lung cancer,69.1,42007
PA,Beaver,melanoma,21.5,42007
PA,Bedford,asthma,NA,42009
PA,Bedford,lung cancer,57.3,42009
PA,Bedford,melanoma,25,42009
PA,Berks,asthma,92.7,42011
PA,Berks,lung cancer,63.5,42011
PA,Berks,melanoma,20.2,42011
PA,Blair,asthma,42.1,42013
PA,Blair,lung cancer,70.2,42013
PA,Blair,melanoma,26.5,42013
PA,Bradford,asthma,43.4,42015
PA,Bradford,lung cancer,61,42015
PA,Bradford,melanoma,21.9,42015
PA,Bucks,asthma,59.2,42017
PA,Bucks,lung cancer,58.6,42017
PA,Bucks,melanoma,29.9,42017
PA,Butler,asthma,26.4,42019
PA,Butler,lung cancer,60.5,42019
PA,Butler,melanoma,34.4,42019
PA,Cambria,asthma,43,42021
PA,Cambria,lung cancer,58,42021
PA,Cambria,melanoma,24.5,42021
PA,Cameron,asthma,NA,42023
PA,Cameron,lung cancer,66.5,42023
PA,Carbon,asthma,58.7,42025
PA,Carbon,lung cancer,58,42025
PA,Carbon,melanoma,19.8,42025
PA,Centre,asthma,42.3,42027
PA,Centre,lung cancer,45.1,42027
PA,Centre,melanoma,30.4,42027
PA,Chester,asthma,45.3,42029
PA,Chester,lung cancer,51.9,42029
PA,Chester,melanoma,29.6,42029
PA,Clarion,asthma,NA,42031
PA,Clarion,lung cancer,60.5,42031
PA,Clarion,melanoma,27.9,42031
PA,Clearfield,asthma,31.8,42033
PA,Clearfield,lung cancer,61.4,42033
PA,Clearfield,melanoma,18.1,42033
PA,Clinton,asthma,NA,42035
PA,Clinton,lung cancer,60.4,42035
PA,Clinton,melanoma,23.1,42035
PA,Columbia,asthma,39.6,42037
PA,Columbia,lung cancer,60.4,42037
PA,Columbia,melanoma,29.1,42037
PA,Crawford,asthma,42.3,42039
PA,Crawford,lung cancer,69.9,42039
PA,Crawford,melanoma,22,42039
PA,Cumberland,asthma,33,42041
PA,Cumberland,lung cancer,54.2,42041
PA,Cumberland,melanoma,27.5,42041
PA,Dauphin,asthma,88.1,42043
PA,Dauphin,lung cancer,58,42043
PA,Dauphin,melanoma,26.8,42043
PA,Delaware,asthma,115.2,42045
PA,Delaware,lung cancer,66.3,42045
PA,Delaware,melanoma,24,42045
PA,Elk,asthma,NA,42047
PA,Elk,lung cancer,63,42047
PA,Elk,melanoma,20.8,42047
PA,Erie,asthma,35.8,42049
PA,Erie,lung cancer,64.3,42049
PA,Erie,melanoma,19.2,42049
PA,Fayette,asthma,64,42051
PA,Fayette,lung cancer,74.4,42051
PA,Fayette,melanoma,15.1,42051
PA,Forest,asthma,NA,42053
PA,Forest,lung cancer,79.8,42053
PA,Franklin,asthma,40.4,42055
PA,Franklin,lung cancer,60.4,42055
PA,Franklin,melanoma,31.1,42055
PA,Fulton,asthma,NA,42057
PA,Fulton,lung cancer,68.6,42057
PA,Fulton,melanoma,27.7,42057
PA,Greene,asthma,NA,42059
PA,Greene,lung cancer,72.9,42059
PA,Greene,melanoma,13.3,42059
PA,Huntingdon,asthma,NA,42061
PA,Huntingdon,lung cancer,56.7,42061
PA,Huntingdon,melanoma,31.5,42061
PA,Indiana,asthma,42,42063
PA,Indiana,lung cancer,46.7,42063
PA,Indiana,melanoma,23.3,42063
PA,Jefferson,asthma,NA,42065
PA,Jefferson,lung cancer,61.6,42065
PA,Jefferson,melanoma,16,42065
PA,Juniata,asthma,NA,42067
PA,Juniata,lung cancer,56.5,42067
PA,Juniata,melanoma,23.8,42067
PA,Lackawanna,asthma,63.7,42069
PA,Lackawanna,lung cancer,66.8,42069
PA,Lackawanna,melanoma,19.5,42069
PA,Lancaster,asthma,41.7,42071
PA,Lancaster,lung cancer,51.1,42071
PA,Lancaster,melanoma,29.5,42071
PA,Lawrence,asthma,45,42073
PA,Lawrence,lung cancer,71.3,42073
PA,Lawrence,melanoma,18.9,42073
PA,Lebanon,asthma,36.6,42075
PA,Lebanon,lung cancer,56.9,42075
PA,Lebanon,melanoma,24.4,42075
PA,Lehigh,asthma,82.3,42077
PA,Lehigh,lung cancer,61.8,42077
PA,Lehigh,melanoma,24.6,42077
PA,Luzerne,asthma,50.3,42079
PA,Luzerne,lung cancer,70.8,42079
PA,Luzerne,melanoma,21,42079
PA,Lycoming,asthma,35.8,42081
PA,Lycoming,lung cancer,66.1,42081
PA,Lycoming,melanoma,24.9,42081
PA,McKean,asthma,NA,42083
PA,McKean,lung cancer,66.4,42083
PA,McKean,melanoma,21.1,42083
PA,Mercer,asthma,48.9,42085
PA,Mercer,lung cancer,59.3,42085
PA,Mercer,melanoma,25.5,42085
PA,Mifflin,asthma,NA,42087
PA,Mifflin,lung cancer,66.1,42087
PA,Mifflin,melanoma,25.8,42087
PA,Monroe,asthma,65.4,42089
PA,Monroe,lung cancer,67.7,42089
PA,Monroe,melanoma,19.4,42089
PA,Montgomery,asthma,61,42091
PA,Montgomery,lung cancer,52.2,42091
PA,Montgomery,melanoma,28.2,42091
PA,Montour,asthma,NA,42093
PA,Montour,lung cancer,69.4,42093
PA,Montour,melanoma,41.6,42093
PA,Northampton,asthma,66.3,42095
PA,Northampton,lung cancer,61.6,42095
PA,Northampton,melanoma,25.6,42095
PA,Northumberland,asthma,49.4,42097
PA,Northumberland,lung cancer,70.3,42097
PA,Northumberland,melanoma,25.5,42097
PA,Perry,asthma,NA,42099
PA,Perry,lung cancer,73.1,42099
PA,Perry,melanoma,28,42099
PA,Philadelphia,asthma,289.7,42101
PA,Philadelphia,lung cancer,72.9,42101
PA,Philadelphia,melanoma,11,42101
PA,Pike,asthma,64.6,42103
PA,Pike,lung cancer,65.3,42103
PA,Pike,melanoma,18.8,42103
PA,Potter,asthma,NA,42105
PA,Potter,lung cancer,55.8,42105
PA,Potter,melanoma,15.5,42105
PA,Schuylkill,asthma,48.2,42107
PA,Schuylkill,lung cancer,71,42107
PA,Schuylkill,melanoma,21.3,42107
PA,Snyder,asthma,NA,42109
PA,Snyder,lung cancer,47.4,42109
PA,Snyder,melanoma,32.4,42109
PA,Somerset,asthma,28.9,42111
PA,Somerset,lung cancer,53.7,42111
PA,Somerset,melanoma,22.7,42111
PA,Sullivan,asthma,NA,42113
PA,Sullivan,lung cancer,55.1,42113
PA,Susquehanna,asthma,58.5,42115
PA,Susquehanna,lung cancer,54.8,42115
PA,Susquehanna,melanoma,20.3,42115
PA,Tioga,asthma,NA,42117
PA,Tioga,lung cancer,60.2,42117
PA,Tioga,melanoma,26.2,42117
PA,Union,asthma,NA,42119
PA,Union,lung cancer,46.1,42119
PA,Union,melanoma,31.4,42119
PA,Venango,asthma,60.2,42121
PA,Venango,lung cancer,67.6,42121
PA,Venango,melanoma,21.3,42121
PA,Warren,asthma,NA,42123
PA,Warren,lung cancer,59.4,42123
PA,Warren,melanoma,20.1,42123
PA,Washington,asthma,54.5,42125
PA,Washington,lung cancer,69.9,42125
PA,Washington,melanoma,20.1,42125
PA,Wayne,asthma,NA,42127
PA,Wayne,lung cancer,57.7,42127
PA,Wayne,melanoma,19.5,42127
PA,Westmoreland,asthma,40.9,42129
PA,Westmoreland,lung cancer,61.4,42129
PA,Westmoreland,melanoma,24.9,42129
PA,Wyoming,asthma,NA,42131
PA,Wyoming,lung cancer,70,42131
PA,Wyoming,melanoma,27.5,42131
PA,York,asthma,53.9,42133
PA,York,lung cancer,65.4,42133
PA,York,melanoma,32.5,42133
